code,name
COS1020,C++ Programming
COS1050,Discrete Structures
COS2021,Fundamental Data Structures
COS2030,Basics in Java Programming
COS2031,Introduction to UNIX
COS2035,Computer Architecture
COS3015,Software Engineering
COS3031,Operating Systems
COS3040,Programming in Python
COS4040,Computer Networks
COS4050,Internet of Things
COS4060,Algorithms
COS4070,Artificial Intelligence
COS4080,Data Mining
COS4091,Senior Project I
COS4092,Senior Project II
MAT151,Calculus I
STA1005,Statistics

INF1030,Basics in C# Programming
INF1050,Personal Productivity with Information Technologies
INF2040,Website Development
INF2070,Analysis and Design of Information Systems
INF2080,Database Systems
INF3035,Web Server Technologies
INF3070,Information Security
INF3075,Web-Client Technologies
INF4040,Technologies for Web-based Information Systems
INF4080,Big Data Analytics
INF4081,Internship
INF4091,Senior Project
