course,type,values
COS1020,NONE,
COS1050,NONE,
COS2021,AND,COS1020|COS1050
COS2030,OR,COS1020|INF1030
COS2031,NONE,
COS2035,NONE,
COS3015,AND,COS2030
COS3031,AND,COS2035
COS3040,NONE,
COS4040,NONE,
COS4050,NONE,
COS4060,AND,COS2021|JUNIOR
COS4070,NONE,
COS4080,AND,COS2021|INF2080|STA1005
COS4091,AND,COS3015|SENIOR
COS4092,AND,COS4091|SUPERVISOR
INF1030,NONE,
INF1050,NONE,
INF2040,NONE,
INF2070,AND,INF1030
INF2080,OR,COS1020|INF1030
INF3035,AND,INF1030|INF2080
INF3070,NONE,
INF3075,AND,INF1030|INF2040
INF4040,AND,INF3035
INF4080,AND,INF2080
INF4081,NONE,
INF4091,AND,INF3035
