code,name
COS1020,C++ Programming
COS1050,Discrete Structures
COS2021,Fundamental Data Structures
COS2030,Basics in Java Programming
COS2031,Introduction to UNIX
COS2035,Computer Architecture
COS3015,Software Engineering
COS3031,Operating Systems
COS3040,Programming in Python
COS4040,Computer Networks
COS4050,Internet of Things
COS4060,Algorithms
COS4070,Artificial Intelligence
COS4080,Data Mining
COS4091,Senior Project I
COS4092,Senior Project II
INF1030,Introduction to Programming
INF2080,Data Analysis
MAT151,Calculus I
STA1005,Statistics
